ID,Name,Designator,Footprint,Quantity,Source Link
1,X4611WV-05I-C28D40,"H1, H2, H3, H4, H5, H6, H7, H8, H9",HDR-TH_5P-P2.00-V-M,9,https://www.taydaelectronics.com/connectors-sockets/pin-headers/5-pin-2-00-mm-single-row-female-pin-header.html
2,SUBMINI_SPDT,"HOLD, OCT",SUBMINI_TOGGLE ON-ON,2,
3,LED_2X5MM_BICOLOR-CMN-CAT,"LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8",KINGBRIGHT-WP119EGWT-2X5-BICOLOR-LED,8,https://www.mouser.com/ProductDetail/Kingbright/WP119EGWT?qs=DkZGzo4b%252BTL9k4hr3wAL0g%3D%3D
4,THONKICONNNEW,"EVENS-OUT, HALFCLK-OUT, MAIN-OUT, ODDS-OUT, CLK1",THONKICONN-TIGHT,5,
5,2N3904(TO-92),Q1,TO92,1,
6,1k,"R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16",R0805,16,
7,10k,R56,R0805,1,
8,100k,R57,R0805,1,
9,Submini DPDT On-On,"S1, S2, S3, S4, S5, S6, S7, S8",SUBMINI TOGGLE SWITCH DPDT ON-ON,8,
10,Submini DPDT On-Off-On,UPDOWN,SUBMINI TOGGLE SWITCH DPDT ON-OFF-ON,1,
11,B100k,"VR1, VR2, VR3, VR4, VR5, VR6, VR7, VR8",9MM_SNAP-IN_POT T-18,8,
12,knobs,,Slim T-18 Knob,8,https://www.thonk.co.uk/shop/tall-trimmer-toppers/
