ID,Name,Designator,Footprint,Quantity,Source Link
1,56nF,C2,C0805,1,
2,0.33uF,C32,C0805,1,
3,0.01uF,C33,C0805,1,
4,10uF,"C47, C48",CAP-D5.0XF2.0,2,
5,100pF,"C49, C54",C0805,2,
6,0.1uF,"C1, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C25, C26, C42, C43, C44, C59",C0805,21,
7,1N5819,"D5, D8",DO-41,2,
8,1N4148,"D19, D20, D21, D22, D23, D24, D25, D26, D27",SOD-80_L3.5-W1.5-FD,9,
9,Ferrite,"F7, F8",7MM_RESISTOR,2,
10,X4611WV-05I-C28D40,"H1, H2, H3, H4, H5, H6, H7, H8, H9",HDR-TH_5P-P2.00-V-F,9,https://www.taydaelectronics.com/connectors-sockets/pin-headers/5-pin-2-00-mm-single-row-female-pin-header.html
11,HDR-IDC-2.54-2X4P,P1,IDC-TH_8P-P2.54-V-R2-C4-S2.54,1,
12,HDR-IDC-2.54-2X3P,P2,IDC-TH_6P-P2.54_C11214,1,
13,IDC Box 2.54mm 2X5P,P4,EURO_PWR_HEADER_LOCK,1,
14,100k,"R17, R18, R19, R20, R21, R23, R24, R25, R26, R27, R28, R30, R46",R0805,13,
15,47k,R22,R0805,1,
16,150k,"R29, R45",R0805,2,
17,CD4070BM96,"U1, U2",SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,2,
18,TL074_SMD,"U1D, U2D, U9D",SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,3,
19,CD4042BM96,U11,SOP-16_L10.0-W3.9-P1.27-LS6.0-BL,1,
20,CD4081BM96,U13,SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,1,
21,L78L05ACZTR,U14,TO-92-3_L4.8-W3.7-P2.54-L,1,
22,TL072IDT,U16,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,1,
23,DG408DY-E3,U17,SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL,1,
24,CD40106BM96,"U15, U18",SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,2,
25,DG409DY-E3,U19,SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL,1,
26,CD4013BM96,"U12, U25",SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,2,
27,CD4532BM96,U26,SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL,1,
28,CD4028BM96,U27,SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL,1,
29,CD4029BM96,U28,SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL,1,
30,10k,"VR1, VR5",PV36W-MULTITURN-TRIMMER,2,
31,Standoff,,1/4” 4-40,1,https://www.mouser.com/ProductDetail/761-2053-440-AL-7
32,Screw,,3/16” 4-40,2,
